Team Name,University Name,Rank
LIQUIDATORS,SHAHJALAL UNIVERSITY OF SCIENCE & TECHNOLOGY,53
NOWAYHOME,SHAHJALAL UNIVERSITY OF SCIENCE & TECHNOLOGY,53
SAMURAI SQUAD,SHAHJALAL UNIVERSITY OF SCIENCE & TECHNOLOGY,53
TEAM OMNITRIX,UNITED INTERNATIONAL UNIVERSITY,53
DU_TRIUMPH_SQUAD'26,UNIVERSITY OF DHAKA,53
TEAM_MATRIX,BRAC UNIVERSITY,54
BSMRSTU_FUSINGBRILLIANCE,BANGABANDHU SHEIKH MUJIBUR RAHMAN SCIENCE AND TECHNOLOGY UNIVERSITY,55
TEAM FRAGILE,JAGANNATH UNIVERSITY,56
SUST_BONGCLOUD,SHAHJALAL UNIVERSITY OF SCIENCE & TECHNOLOGY,56
BUET_FRIENDS,BANGLADESH UNIVERSITY OF ENGINEERING AND TECHNOLOGY,57
AUST_THE_FINAL_FRONTIER,AHSANULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,58
GUB_LEGEN_WAIT_FOR_IT,GREEN UNIVERSITY OF BANGLADESH,59
